date_tirage;regime;position;numero;type
2004-08-20;2004-2011 : 50 boules / 9 etoiles;boule_3;35;boule
2004-08-20;2004-2011 : 50 boules / 9 etoiles;etoile_1;6;etoile
2004-08-20;2004-2011 : 50 boules / 9 etoiles;etoile_2;8;etoile
2004-08-27;2004-2011 : 50 boules / 9 etoiles;boule_2;1;boule
2004-08-27;2004-2011 : 50 boules / 9 etoiles;boule_5;11;boule
2004-08-27;2004-2011 : 50 boules / 9 etoiles;boule_4;22;boule
2004-08-27;2004-2011 : 50 boules / 9 etoiles;boule_1;28;boule
2004-08-27;2004-2011 : 50 boules / 9 etoiles;boule_3;44;boule
2004-08-27;2004-2011 : 50 boules / 9 etoiles;etoile_1;1;etoile
2004-08-27;2004-2011 : 50 boules / 9 etoiles;etoile_2;9;etoile
2004-09-03;2004-2011 : 50 boules / 9 etoiles;boule_5;8;boule
2004-09-03;2004-2011 : 50 boules / 9 etoiles;boule_2;12;boule
2004-09-03;2004-2011 : 50 boules / 9 etoiles;boule_1;14;boule
2004-09-03;2004-2011 : 50 boules / 9 etoiles;boule_3;15;boule
2004-09-03;2004-2011 : 50 boules / 9 etoiles;boule_4;34;boule
2004-09-03;2004-2011 : 50 boules / 9 etoiles;etoile_2;6;etoile
2004-09-03;2004-2011 : 50 boules / 9 etoiles;etoile_1;7;etoile
2004-09-10;2004-2011 : 50 boules / 9 etoiles;boule_1;5;boule
2004-09-10;2004-2011 : 50 boules / 9 etoiles;boule_4;25;boule
2004-09-10;2004-2011 : 50 boules / 9 etoiles;boule_5;33;boule
2004-09-10;2004-2011 : 50 boules / 9 etoiles;boule_3;36;boule
2004-09-10;2004-2011 : 50 boules / 9 etoiles;boule_2;38;boule
2004-09-10;2004-2011 : 50 boules / 9 etoiles;etoile_2;2;etoile
2004-09-10;2004-2011 : 50 boules / 9 etoiles;etoile_1;5;etoile
2004-09-17;2004-2011 : 50 boules / 9 etoiles;boule_3;15;boule
2004-09-17;2004-2011 : 50 boules / 9 etoiles;boule_4;18;boule
2004-09-17;2004-2011 : 50 boules / 9 etoiles;boule_5;29;boule
2004-09-17;2004-2011 : 50 boules / 9 etoiles;boule_2;39;boule
2004-09-17;2004-2011 : 50 boules / 9 etoiles;boule_1;41;boule
2004-09-17;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2004-09-17;2004-2011 : 50 boules / 9 etoiles;etoile_1;8;etoile
2004-09-24;2004-2011 : 50 boules / 9 etoiles;boule_2;21;boule
2004-09-24;2004-2011 : 50 boules / 9 etoiles;boule_3;26;boule
2004-09-24;2004-2011 : 50 boules / 9 etoiles;boule_4;27;boule
2004-09-24;2004-2011 : 50 boules / 9 etoiles;boule_5;44;boule
2004-09-24;2004-2011 : 50 boules / 9 etoiles;boule_1;48;boule
2004-09-24;2004-2011 : 50 boules / 9 etoiles;etoile_1;1;etoile
2004-09-24;2004-2011 : 50 boules / 9 etoiles;etoile_2;7;etoile
2004-10-01;2004-2011 : 50 boules / 9 etoiles;boule_5;12;boule
2004-10-01;2004-2011 : 50 boules / 9 etoiles;boule_2;20;boule
2004-10-01;2004-2011 : 50 boules / 9 etoiles;boule_4;21;boule
2004-10-01;2004-2011 : 50 boules / 9 etoiles;boule_3;45;boule
2004-10-01;2004-2011 : 50 boules / 9 etoiles;boule_1;48;boule
2004-10-01;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2004-10-01;2004-2011 : 50 boules / 9 etoiles;etoile_1;6;etoile
2004-10-08;2004-2011 : 50 boules / 9 etoiles;boule_4;1;boule
2004-10-08;2004-2011 : 50 boules / 9 etoiles;boule_2;10;boule
